City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Delgada,PT,37.7333,-25.6667,68.72,83,40,5.75,scattered clouds
1,Georgetown,MY,5.4112,100.3354,87.73,80,40,8.05,scattered clouds
2,Hobart,AU,-42.8794,147.3294,67.26,46,40,8.01,scattered clouds
3,Silale,LT,55.4906,22.1814,59.79,79,96,4.94,overcast clouds
4,Luderitz,NA,-26.6481,15.1594,56.66,54,0,7.0,clear sky
5,Deniliquin,AU,-35.5333,144.9667,64.0,38,0,12.28,clear sky
6,Ushuaia,AR,-54.8,-68.3,37.06,75,75,39.12,light rain
7,Mataura,NZ,-46.1927,168.8643,50.49,97,100,8.01,overcast clouds
8,Lavrentiya,RU,65.5833,-171.0,46.26,71,72,6.02,broken clouds
9,Krasnoselkup,RU,65.7,82.4667,64.06,59,35,14.05,scattered clouds
10,Dubrovnik,HR,42.6481,18.0922,82.04,36,0,5.75,clear sky
11,Nemuro,JP,43.3236,145.575,54.03,92,100,42.79,moderate rain
12,Saint-Augustin,CA,51.226,-58.6502,55.99,90,56,12.57,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,47.89,74,0,5.86,clear sky
14,Caravelas,BR,-17.7125,-39.2481,66.09,87,32,1.03,scattered clouds
15,Krasnaya Gorbatka,RU,55.8703,41.7641,73.81,57,1,5.12,clear sky
16,Esperance,AU,-33.8667,121.9,49.84,70,60,23.04,light rain
17,Ostersund,SE,63.1792,14.6357,50.45,100,90,0.0,fog
18,Bredasdorp,ZA,-34.5322,20.0403,40.32,87,0,5.75,clear sky
19,Mokhsogollokh,RU,61.4681,128.9203,83.44,31,12,4.85,few clouds
20,Milton,US,34.1322,-84.3007,77.77,92,67,1.5,broken clouds
21,Sola,VU,-13.8833,167.55,78.08,74,100,29.04,overcast clouds
22,Hilo,US,19.7297,-155.09,74.8,92,36,3.53,light rain
23,Garowe,SO,8.4054,48.4845,76.77,59,56,26.4,broken clouds
24,Lompoc,US,34.6391,-120.4579,63.1,88,90,4.61,mist
25,Cape Town,ZA,-33.9258,18.4232,48.11,87,0,5.75,clear sky
26,Rikitea,PF,-23.1203,-134.9692,72.25,78,83,19.64,broken clouds
27,Chokurdakh,RU,70.6333,147.9167,68.4,38,73,11.25,broken clouds
28,Narasannapeta,IN,18.4167,84.05,89.33,65,100,8.08,overcast clouds
29,San Policarpo,PH,12.1791,125.5072,80.51,83,100,4.18,overcast clouds
30,Urumqi,CN,43.801,87.6005,81.55,30,0,8.95,clear sky
31,Thompson,CA,55.7435,-97.8558,55.56,88,20,2.3,few clouds
32,Nikolskoye,RU,59.7035,30.7861,61.02,80,20,4.52,few clouds
33,Natal,BR,-5.795,-35.2094,74.05,100,75,6.91,broken clouds
34,Byron Bay,AU,-28.65,153.6167,69.76,49,26,7.81,scattered clouds
35,Kasane,BW,-17.8167,25.15,56.05,37,0,3.76,clear sky
36,Butaritari,KI,3.0707,172.7902,82.92,69,53,11.39,broken clouds
37,Nichinan,JP,31.6,131.3667,88.75,57,61,9.66,broken clouds
38,East London,ZA,-33.0153,27.9116,52.74,54,0,8.05,clear sky
39,Avarua,CK,-21.2078,-159.775,77.05,83,20,4.61,few clouds
40,Matay,EG,28.419,30.7792,80.67,57,0,14.0,clear sky
41,Snyder,US,32.7179,-100.9176,86.14,47,1,10.36,clear sky
42,Huntsville,US,34.7304,-86.5861,79.93,91,1,4.61,clear sky
43,Lagos,NG,6.5833,3.75,75.52,93,100,4.36,overcast clouds
44,Jamestown,US,42.097,-79.2353,76.59,78,1,5.75,clear sky
45,Adrar,MR,20.5022,-10.0711,79.88,26,86,14.16,overcast clouds
46,Vinh Long,VN,10.25,105.9667,89.58,61,94,11.86,overcast clouds
47,Lampa,CL,-33.2833,-70.9,37.31,81,0,0.0,clear sky
48,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,82,38,3.04,scattered clouds
49,Marienburg,PL,54.0359,19.0266,61.84,67,21,4.12,few clouds
50,Hami,CN,42.8,93.45,92.82,15,49,3.18,scattered clouds
51,Oranjestad,AW,12.524,-70.027,81.97,83,60,24.72,broken clouds
52,Ust-Donetskiy,RU,47.6419,40.8718,81.9,33,100,8.32,overcast clouds
53,Chateauroux,FR,46.8167,1.7,51.8,100,0,0.0,clear sky
54,Carnarvon,AU,-24.8667,113.6333,71.67,52,90,19.57,overcast clouds
55,Saint-Philippe,RE,-21.3585,55.7679,73.22,76,5,2.89,clear sky
56,Husavik,IS,66.0449,-17.3389,44.51,79,74,1.74,broken clouds
57,Kapaa,US,22.0752,-159.319,82.72,69,20,1.99,few clouds
58,Upernavik,GL,72.7868,-56.1549,43.84,64,82,9.15,broken clouds
59,Hakkari,TR,37.5833,44.1667,64.18,48,0,2.3,clear sky
60,Namibe,AO,-15.1961,12.1522,66.85,91,38,6.82,scattered clouds
61,San Patricio,US,28.017,-97.5169,85.86,77,3,15.35,clear sky
62,Vardo,NO,70.3705,31.1107,59.2,86,76,7.76,broken clouds
63,Nioki,CD,-2.7167,17.6833,71.62,66,22,2.71,few clouds
64,Erbach,DE,49.6561,8.9964,59.52,89,83,4.18,broken clouds
65,Port Alfred,ZA,-33.5906,26.891,54.9,67,92,12.84,light rain
66,Busselton,AU,-33.65,115.3333,51.04,64,93,26.51,overcast clouds
67,Sorland,NO,67.667,12.6934,57.27,92,100,6.85,overcast clouds
68,Yellowknife,CA,62.456,-114.3525,54.12,100,75,3.44,broken clouds
